"hh_id","kebele","woreda","zone","killil","dispute","land_red","age_head","f_head","edu_head","m_ad","f_ad","hh_size","n_plots","cert_rnd_two","cert_rnd_one","cert","ironroof2","mobile2","taperec2","radio2","sofa2","barrel2","cart2","plow2","jewelty2","townhouse2","wealth_score","credit_amt","credit"
"190","244","212","21","2",0,0,40,0,0,1,1,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1.257309600195,0,0
"191","244","212","21","2",0,0,60,0,0,1,1,4,5,0,1,1,1,0,0,0,0,0,0,1,0,0,0.800547176291,4000,1
"192","244","212","21","2",0,0,53,0,1,3,1,8,9,0,1,1,1,1,1,1,0,1,0,1,1,0,-1.19461382962964,0,0
"193","244","212","21","2",0,0,32,1,0,0,1,2,3,0,1,1,1,0,1,1,0,0,0,0,0,0,0.340278007658981,0,0
"194","244","212","21","2",1,1,58,0,0,1,2,6,6,0,1,1,1,1,0,0,1,1,0,1,0,0,-0.240462675254575,0,0
"195","244","212","21","2",0,0,49,1,0,1,1,3,6,0,1,1,1,1,0,0,0,1,0,1,0,1,-0.289352174066464,0,0
"196","244","212","21","2",0,0,40,0,1,1,2,7,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0.800547176291,0,0
"197","244","212","21","2",0,0,63,0,0,1,1,4,6,0,1,1,1,0,0,1,0,0,0,1,1,0,0.0387528363497021,0,0
"198","244","212","21","2",0,0,42,0,0,1,1,4,3,0,1,1,0,0,1,1,0,0,0,1,0,0,0.415440796395371,0,0
"199","244","212","21","2",0,0,34,0,0,2,1,3,7,0,1,1,1,1,0,0,0,1,0,1,0,0,-0.162640483500578,0,0
"200","244","212","21","2",1,0,42,0,0,2,1,5,6,0,1,1,1,0,0,0,0,1,0,1,1,0,-0.059559818509529,8000,1
"201","244","212","21","2",0,1,60,1,0,1,1,3,4,0,1,1,0,0,0,0,0,1,0,1,0,0,0.587307147723905,0,0
"202","244","212","21","2",0,0,55,1,0,1,1,5,5,0,1,1,1,1,1,0,0,0,0,1,0,0,0.0463831451989448,0,0
"203","244","212","21","2",0,0,27,1,0,1,1,3,2,0,1,1,1,0,0,0,0,1,0,1,0,0,0.321344541403711,0,0
"204","248","212","21","2",0,0,25,0,0,1,1,3,8,0,0,0,0,0,0,1,0,1,0,1,0,0,0.206417167695848,1300,1
"205","248","212","21","2",0,0,35,0,1,1,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0.582524757706905,0,0
"206","248","212","21","2",0,0,50,1,0,2,2,6,6,0,1,1,1,1,0,0,0,0,0,1,0,0,0.316562151386711,0,0
"207","248","212","21","2",0,0,35,1,0,0,1,3,7,0,1,1,1,0,0,0,0,1,0,0,0,0,0.512144358987515,0,0
"208","248","212","21","2",0,0,53,0,1,2,1,7,5,0,1,1,1,1,0,0,0,1,0,1,0,0,-0.162640483500578,0,0
